Product,Category,Price,Quantity,Date,Region
Laptop,Electronics,50000,2,2024-01-01,North
Phone,Electronics,20000,3,2024-01-02,South
Shirt,Clothing,1000,5,2024-01-02,East
Shoes,Clothing,2000,2,2024-01-03,West
TV,Electronics,30000,1,2024-01-03,North
Headphones,Electronics,3000,4,2024-01-04,South
Jeans,Clothing,1500,3,2024-01-04,East
Watch,Accessories,5000,2,2024-01-05,West
Bag,Accessories,2000,4,2024-01-05,North
Tablet,Electronics,25000,2,2024-01-06,South
Jacket,Clothing,3000,3,2024-01-06,East
Socks,Clothing,200,10,2024-01-07,West
Speaker,Electronics,4000,3,2024-01-07,North
Camera,Electronics,45000,1,2024-01-08,South
Cap,Accessories,500,6,2024-01-08,East
Belt,Accessories,800,4,2024-01-09,West
Monitor,Electronics,15000,2,2024-01-09,North
Keyboard,Electronics,2000,5,2024-01-10,South
Mouse,Electronics,1000,6,2024-01-10,East
Dress,Clothing,2500,2,2024-01-11,West
